1394,2778
6331,17999
122704,54460
2597,2911
4790,79155
6146,101929876
109,27115
1390,84528
324,10982
26268,6500
3609,3954
152485,57504
1537,55967
8452,7278
23392,5687
72462,5573
2355,29922
154796,7408
26039,6597
5347,3297
375056,64419
155871,170575
57154,3309
5501,3189
57162,7321
6498,7329
84281,4654
5879,23568
4193,24149
6631,9775
8570,9757
155908,5034
8559,56850
84445,253461
221,84735
261726,5537
554223,79699
9869,121504
2100,6166
4942,231
5071,6129
5300,81628
51755,6434
1855,8312
1410,84309
155030,7175
10488,56475
55630,27333
10534,10963
9775,5978
9662,85459
26173,5430
192669,7846
4067,5329
10206,396
5034,23036
10577,4864
56041,10160
9045,6141
2091,6229
6919,386682
79008,11218
3934,79005
5501,220004
9039,51506
10487,10724
6622,68194
51619,51255
30011,10300
57520,58525
6884,6874
55069,5311
5604,8837
7189,23193
11007,51207
4329,84264
550,55251
3320,91607
56086,27107
4653,3543
55914,4163
5558,7150
29843,147923
3339,351
9688,55273
6477,5932
23197,79751
58,84962
7453,56474
11140,57684
10801,9217
283933,337967
5910,57826
27292,6132
4914,4292
5310,87
3172,96764
4869,11316
3320,10420
56045,26097
347733,4790
23398,2483
10313,6252
23476,1024
5198,823
1408,3312
55844,6829
20174,10467
4004,127933
55366,23310
23138,23623
5110,7077
11052,57819
8353,6231
10528,23521
132625,6045
4841,79659
23385,84898
867,4690
9924,6147
4343,6129
120892,43736
6141,9129
149041,7327
1026,1
79850,6520
154796,84129
7284,139341
9318,3646
6259,5591
230967,4750
66877,58509
200879,51148
79172,64105
4188,7866
29114,25932
1717,293
57596,126868
2355,6144
6122,6137
4163,81876
1432,2004
51073,51650
25824,57532
7014,203245
8503,54906
6118,5981
5042,255967
1739,9229
84140,164127
5564,6122
286480,51255
10664,3146
56254,51322
7514,4733
51729,79228
79768,79768
10573,6183
8428,11011
1738,2109
11051,3066
5347,7153
22608,1660
388697,6132
81910,53339
28964,156
8227,80321
23168,351
5330,5330
23336,1837
5571,347688
6676,503497
6390,5018
4343,8237
801,94180
5733,80125
6160,6207
9261,51465
10492,339344
79980,79980
6098,5781
4223,8675
23790,154810
6310,440
5184,6195
10073,11218
8022,83543
27153,171483
51019,200081
6143,8886
9099,83878
155945,7037
1432,8945
2175,26121
7379,8600
6813,6844
663,10613
4627,5756
347733,5216
54557,55027
80279,23376
661,84528
246184,51434
1208,5406
4691,7307
4163,128553
6045,84248
579,7091
4694,4710
2296,57459
5042,57418
55294,29079
975,6155
4141,7030
7917,84292
64949,55720
2118,4811
60490,705
8548,79843
5350,203562
5469,5469
10014,7037
99100,9886
68734,988
138046,1993
293,3881
5694,10055
7533,5062
79902,9972
9948,8761
1875,7514
10672,7046
56455,140710
132141,2052
1457,10772
81833,5337
64375,64375
131,224
9136,55272
203562,286753
25945,56288
3183,4691
9863,84630
4695,4707
30011,8761
26227,2885
8451,9169
6602,64599
6772,7852
10236,1398
166,54915
55844,221150
64210,64428
50875,85464
54487,9987
2597,57082
5478,79800
1994,6175
10492,51362
9444,8939
2593,10667
84445,170954
8894,9493
2130,2185
84527,386680
84996,337879
64326,8454
1994,23405
4839,6193
282322,5071
6462,63893
7329,2542196
2483,6634
74764,3799
6733,8926
55064,2802
282323,5577
151194,3313
54487,83660
23543,6311
595,5000
10450,3550
23345,6134
1677,4082
10399,920
2624,161882
4240,3693
85451,54940
2335,6218
23243,8897
3727,4779
396,226
10551,80012
51400,1936
51265,26088
56970,389856
55832,1832
5079,639
8452,2130
5501,351
4654,861
84705,170954
56041,26003
6117,5557
10449,6342
22974,3551
23081,3065
5879,4627
64112,84217
7112,1105
220134,3796
10266,10268
80067,8450
16319,284119
64757,84084
10140,9869
26229,9554
10875,10007
1891,56922
5549,80746
3309,27000
7535,2885
10598,10575
5272,10980
6320,4928
57062,11103
2689,23173
7514,2308
3219,11340
116071,84281
375,55738
5985,54906
627,627
7014,4951
157506,57665
286075,64969
27373,3190
55504,84894
128308,740
54557,3691
4914,79902
118460,51079
2273,9659
4809,9410
8834,89885
6733,11035
375,10598
2074,55832
56292,1785
26413,8462
30011,9883
8449,30846
7412,16
22806,84619
8339,10902
9400,9401
55147,23513
4914,64225
7086,5358
26240,116541
79446,84518
6235,7307
57410,144108
351,2258
57154,3945
1655,9416
79590,54148
51375,83878
8354,8361
155030,23607
2932,9627
1004,28513
11228,5108
695,498
9968,9412
8481,9135
175,3043
50875,11346
474168,7976
10189,2072
6950,6184
23405,6176
355,8837
27159,54820
11461,9330
26229,57614
8453,4925
10250,57727
865,9139
10152,170394
9491,84708
10921,10197
112399,468
22144,7267
1203,292
8775,8675
359845,84988
6733,51776
27023,55052
6181,6224
7277,9070
5936,83939
9343,94104
79902,8021
10097,55197
8087,55833
6777,79892
51379,81704
4223,27254
3868,3889
10884,84311
6733,249
51474,525
23405,3329
6613,7153
84842,2052
7046,7314
29966,170082
10870,79465
1031,51129
57379,5223
71,93661
20403,1622
1408,10970
7430,57716
23168,3032
79180,10097
202051,386675
10716,9641
1287,22918
3915,3912
6262,5500
580,4436
2617,7511
6118,4172
7415,25839
5152,8270
155908,27339
84687,5499
7525,51134
8022,90525
1741,324
8914,5111
64960,9045
4343,51253
4088,4774
9662,5048
10939,54477
27346,55379
10933,3837
10905,11253
51747,6628
6628,50628
9820,871
229841,116447
8290,80012
5335,5921
10884,85302
84254,5562
125988,346157
55729,7532
9516,23327
9618,10392
4174,7307
1290,780
5450,353332
7529,3831
4168,6837
64753,79165
6919,84437
2342,30012
1994,79759
5208,51538
63875,92181
8454,387867
9798,8906
26270,6224
55573,6238
728113,145226
6676,222642
4985,5578
1312,4129
2175,6604
23542,6590
55697,80778
5894,598
4122,1107
5997,23354
5204,79722
57805,56946
5094,6203
4869,498
705,23281
1650,3703
1019,1457
862,171482
1659,51503
672,2355
23345,8886
5630,192666
3336,5931
2316,71
23524,58509
4361,2237
3693,3885
2885,2887
5626,27327
53981,6883
84823,283234
4690,1630
36,549
7417,8662
126328,4700
27303,51335
9189,9533
24812,811
5159,4040
56292,8260
1499,5494
3275,6256
10892,7314
8600,8792
5826,2547
155871,54623
27005,57673
10138,4638
58506,9448
6118,90850
11051,55696
1514,7917
